Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-4-6_BH2_3-5_NO2BACl,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(C#C(Cl)),Cl,BH2,NO2,BH2,22.5,1.913821883,1.646,5.519,-8.506,1.2095,17.341,5.418,C1,1.649,0.003,5.309,-0.21,-7.843,1.2113,0.0018,17.16,-0.181,5.924,2.9641,0.128,-6.473,0.0134,0.00988,-0.00167,-0.00821,0.0462,0.00167,8.00E-07,-0.0134,-3.69,-3.930953946,-3.35,-3.587268747,-0.23679071,-0.000478037,2.99,-0.01103
2-4-6_NH2_3-5_CNBACl,c1(N)c(C#N)c(N)c(C#N)c(N)c1(C#C(Cl)),Cl,NH2,CN,NH2,25.7,1.914957292,1.6513,5.442,-4.653,1.2139,16.899,-0.075,C1,1.6549,0.0036,5.235,-0.207,-4.084,1.2147,0.0008,16.833,-0.066,0.683,2.9782,0.122,-6.709,0.013,0.0096,-0.00163,-0.00798,0.0449,0.00163,3.87E-06,-0.013,-3.45,-3.443692819,-3.13,-3.118864154,0.011514799,-0.000378953,2.9,-0.01044
2-4-6_NH2_3-5_FBACl,c1(N)c(F)c(N)c(F)c(N)c1(C#C(Cl)),Cl,NH2,F,NH2,19.9,1.918679636,1.6524,5.421,-4.302,1.2137,16.911,-0.25,C1,1.6557,0.0033,5.234,-0.187,-3.842,1.2144,0.0007,16.854,-0.057,0.553,2.997,0.113,-6.537,0.0125,0.00923,-0.00158,-0.00765,0.0432,0.00158,1.65E-06,-0.0125,-2.95,-2.934945767,-2.64,-2.625571298,0.014614696,-0.000185994,2.69,-0.0094
2-4-6_NH2_3-5_NO2BACl,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(C#C(Cl)),Cl,NH2,NO2,NH2,27.7,1.912996585,1.6508,5.45,-4.929,1.2142,16.873,0.224,C1,1.6545,0.0037,5.231,-0.219,-4.295,1.215,0.0008,16.805,-0.068,0.966,2.9659,0.127,-6.821,0.0133,0.00985,-0.00166,-0.00819,0.0461,0.00166,2.83E-06,-0.0133,-3.69,-3.678283418,-3.35,-3.33788938,0.014426443,-0.002315824,33.23,-0.01005
2-4-6_OH_3-5_CNBACl,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C(Cl)),Cl,OH,CN,OH,35.1,1.907160867,1.6459,5.526,-6.638,1.2137,16.963,2.08,C1,1.65,0.0041,5.267,-0.259,-5.923,1.2148,0.0011,16.865,-0.098,2.899,2.9349,0.142,-6.858,0.0142,0.0105,-0.00175,-0.00876,0.049,0.00175,1.22E-06,-0.0142,-4.54,-4.521252132,-4.19,-4.17359847,0.016377998,2.35E-05,3.39,-0.0129
2-4-6_OH_3-5_FBACl,c1(O)c(F)c(O)c(F)c(O)c1(C#C(Cl)),Cl,OH,F,OH,28.7,1.911643014,1.6483,5.488,-5.584,1.214,16.931,1.111,C1,1.6521,0.0038,5.258,-0.23,-4.961,1.215,0.001,16.845,-0.086,1.871,2.9571,0.13,-6.691,0.0136,0.01,-0.00169,-0.00834,0.0469,0.00169,4.00E-07,-0.0136,-3.91,-3.892293085,-3.57,-3.555366165,0.014972377,-0.000338541,3.12,-0.0115
2-4-6_SH_3-5_CNBACl,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C(Cl)),Cl,SH,CN,SH,33.1,1.90849058,1.6462,5.517,-7.527,1.2125,17.039,3.583,C1,1.6501,0.0039,5.271,-0.246,-6.891,1.2137,0.0012,16.93,-0.109,4.488,2.9407,0.138,-6.998,0.014,0.0104,-0.00173,-0.00866,0.0485,0.00173,2.03E-06,-0.014,-4.36,-4.343284163,-4,-3.986900551,0.01321535,-0.000115901,3.3,-0.01251
2-4-6_SH_3-5_FBACl,c1(S)c(F)c(S)c(F)c(S)c1(C#C(Cl)),Cl,SH,F,SH,27.7,1.91236056,1.6478,5.493,-6.807,1.2125,17.05,2.899,C1,1.6513,0.0035,5.269,-0.224,-6.256,1.2136,0.0011,16.953,-0.097,3.772,2.9585,0.13,-6.802,0.0135,0.01,-0.00168,-0.00832,0.0467,0.00168,1.65E-06,-0.0135,-3.85,-3.838007239,-3.5,-3.489967943,0.010429208,-0.000397151,3.08,-0.01139
2-4-6-BH2BACl,c1(B)cc(B)cc(B)c1(C#C(Cl)),Cl,BH2,H,BH2,22.2,1.916210592,1.6464,5.505,-8.9,1.2103,17.237,6.4,C1,1.6493,0.0029,5.311,-0.194,-8.751,1.2116,0.0013,17.109,-0.128,7.59,2.9808,0.121,-6.23,0.0129,0.00955,-0.00162,-0.00793,0.0447,0.00162,2.57E-06,-0.0129,-3.29,-3.279363768,-2.95,-2.939503398,0.010787516,-0.000290913,2.78,-0.01005
2-4-6-ClBACl,c1(Cl)cc(Cl)cc(Cl)c1(C#C(Cl)),Cl,Cl,H,Cl,22.8,1.91461,1.6457,5.526,-7.874,1.209,17.38,4.616,C1,1.6489,0.0032,5.323,-0.203,-7.508,1.2102,0.0012,17.267,-0.113,5.558,2.9766,0.123,-6.375,0.013,0.00963,-0.00163,-0.00799,0.0451,0.00163,8.80E-07,-0.013,-3.36,-3.35,-3.02,-3.01169077,0.00860943,-0.000300201,2.85,-0.01023
