Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
opp_H_2-6_3-5-OHBBr,c1(O)c(O)cc(O)c(O)c1(Br),Br,OH,OH,H,6.9,2.043265651,1.8844,3.337,-7.468,C1,1.888,0.0036,3.283,-0.054,-5.905,,3.0367,0.122,-10.22,0.0137,0.00976,-0.00129,-0.00847,0.0442,0.00129,2.49E-06,-0.0137,-2.61,-2.567702107,-2.23,-2.189413941,0.034726376,0.005859684,4.25,-0.01639
opp_H_2-6_3-5-SHBBr,c1(S)c(S)cc(S)c(S)c1(Br),Br,SH,SH,H,15.9,2.042277813,1.9017,3.015,-7.033,C1,1.903,0.0013,3.02,0.005,-5.307,,3.009,0.139,-10.518,0.0146,0.0103,-0.00132,-0.00901,0.0466,0.00132,3.09E-06,-0.0146,-3.52,-3.492494233,-3.14,-3.10949896,0.028024574,0.002476466,4.72,-0.01903
opp_H_2-6_OH_3-5_CN_4_NO2BBr,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(Br),Br,OH,CN,NO2,28.7,2.020173542,1.8743,3.474,-8.562,C1,1.8814,0.0071,3.318,-0.156,-6.366,,2.9362,0.159,-11.145,0.0167,0.0119,-0.00136,-0.0105,0.0531,0.00136,2.41E-06,-0.0167,-5.09,-5.039493403,-4.66,-4.609144183,0.050131734,0.000724083,5.8,-0.02629
opp_H_2-6_OH_3-5_F_4_NO2BBr,c1(O)c(F)c(N(=O)=O)c(F)c(O)c1(Br),Br,OH,F,NO2,22.4,2.026479315,1.8767,3.443,-7.99,C1,1.8826,0.0059,3.321,-0.122,-6.063,,2.967,0.153,-10.783,0.0157,0.0112,-0.00135,-0.00985,0.0502,0.00135,1.26E-06,-0.0157,-4.29,-4.24401216,-3.88,-3.83003374,0.048224105,0.001742155,5.42,-0.02228
opp_H_2-6_OH_3-5_NO2_4_CNBBr,c1(O)c(N(=O)=O)c(C#N)c(N(=O)=O)c(O)c1(Br),Br,OH,NO2,CN,27.8,2.020058715,1.8749,3.466,-8.165,C1,1.8821,0.0072,3.305,-0.161,-5.895,,2.9377,0.158,-11.253,0.0166,0.0119,-0.00137,-0.0105,0.0529,0.00137,3.98E-06,-0.0166,-5,-4.947720139,-4.56,-4.506949468,0.052108389,0.000942143,5.77,-0.02604
opp_H_2-6_OH_3-5_NO2_4_FBBr,c1(O)c(N(=O)=O)c(F)c(N(=O)=O)c(O)c1(Br),Br,OH,NO2,F,23.5,2.023110911,1.8795,3.44,-6.363,C1,1.8867,0.0072,3.295,-0.145,-4.009,,2.9542,0.154,-11.172,0.0161,0.0115,-0.00136,-0.0101,0.0514,0.00136,8.33E-07,-0.0161,-4.49,-4.434498944,-4.07,-4.013918409,0.054323497,0.001758093,5.69,-0.02353
opp_H_2-6_OH_4_NH2_3-5_CNBBr,c1(O)c(C#N)c(N)c(C#N)c(O)c1(Br),Br,OH,CN,NH2,17.5,2.031366511,1.8823,3.419,-5.321,C1,1.8883,0.006,3.317,-0.102,-3.164,,2.9866,0.146,-11.1,0.0151,0.0108,-0.00134,-0.00944,0.0485,0.00134,1.42E-06,-0.0151,-3.73,-3.682548035,-3.32,-3.273379746,0.04390684,0.002713414,5.11,-0.02055
opp_H_2-6_OH_4_NH2_3-5_FBBr,c1(O)c(F)c(N)c(F)c(O)c1(Br),Br,OH,F,NH2,10.4,2.038245435,1.8832,3.394,-5.227,C1,1.888,0.0048,3.317,-0.077,-3.47,,3.0201,0.131,-10.546,0.0142,0.0101,-0.00131,-0.00877,0.0456,0.00131,1.04E-06,-0.0142,-2.94,-2.89519304,-2.55,-2.504778779,0.040480638,0.004740583,4.53,-0.01765
opp_H_2-6_opp_H_3-5_4-OHBBr,c1(O)c(O)c(O)c(O)c(O)c1(Br),Br,OH,OH,OH,7.3,2.043589057,1.886,3.342,-6.033,C1,1.8899,0.0039,3.287,-0.055,-4.363,,3.0381,0.121,-10.358,0.0137,0.00973,-0.00129,-0.00844,0.0441,0.00129,1.86E-06,-0.0137,-2.59,-2.546442085,-2.21,-2.168635452,0.036081796,0.005282751,4.25,-0.01633
opp_H_2-6_opp_H_3-5_4-SHBBr,c1(S)c(S)c(S)c(S)c(S)c1(Br),Br,SH,SH,SH,15.4,2.041600623,1.9017,3.022,-6.432,C1,1.9033,0.0016,3.023,0.001,-4.691,,3.0081,0.139,-10.731,0.0146,0.0103,-0.00132,-0.00903,0.0467,0.00132,3.95E-07,-0.0146,-3.49,-3.463139338,-3.1,-3.068994191,0.028419905,0.002585904,,-0.01784
opp_H_2-6_opp_H_3-5-OHBBr,c1(O)c(O)cc(O)c(O)c1(Br),Br,OH,OH,H,6.9,2.043375301,1.8844,3.337,-7.468,C1,1.888,0.0036,3.283,-0.054,-5.905,,3.0367,0.122,-10.22,0.0137,0.00976,-0.00129,-0.00847,0.0442,0.00129,1.77E-06,-0.0137,-2.61,-2.567702107,-2.23,-2.189404842,0.034736416,0.005858742,4.25,-0.01639
opp_H_2-6_opp_H_3-5-SHBBr,c1(S)c(S)cc(S)c(S)c1(Br),Br,SH,SH,H,14.7,2.042002792,1.9,3.039,-7.465,C1,1.9016,0.0016,3.036,-0.003,-5.775,,3.0096,0.138,-10.57,0.0146,0.0103,-0.00132,-0.009,0.0465,0.00132,2.56E-06,-0.0146,-3.46,-3.419966684,-3.08,-3.043506871,0.033483907,0.003009222,4.72,-0.01896
opp_H_2-6_SH_3-5_CN_4_NO2BBr,c1(S)c(C#N)c(N(=O)=O)c(C#N)c(S)c1(Br),Br,SH,CN,NO2,32.7,2.023502228,1.8906,3.19,-7.69,C1,1.8949,0.0043,3.117,-0.073,-5.593,,2.9368,0.16,-11.081,0.0168,0.0119,-0.00136,-0.0105,0.0531,0.00136,2.18E-06,-0.0168,-5.45,-5.412252871,-5.03,-4.988614682,0.041384252,1.07E-06,6.06,-0.02602
opp_H_2-6_SH_3-5_F_4_NO2BBr,c1(S)c(F)c(N(=O)=O)c(F)c(S)c1(Br),Br,SH,F,NO2,26.4,2.029209201,1.89,3.199,-7.509,C1,1.8934,0.0034,3.147,-0.052,-5.713,,2.9612,0.155,-10.722,0.016,0.0113,-0.00135,-0.00999,0.0508,0.00135,1.00E-06,-0.016,-4.74,-4.705890527,-4.33,-4.291204853,0.038096102,0.000699046,5.54,-0.02331
opp_H_2-6_SH_3-5_NO2_4_CNBBr,c1(S)c(N(=O)=O)c(C#N)c(N(=O)=O)c(S)c1(Br),Br,SH,NO2,CN,32.9,2.022749663,1.8899,3.177,-7.769,C1,1.8945,0.0046,3.095,-0.082,-5.639,,2.9314,0.16,-11.099,0.017,0.012,-0.00136,-0.0107,0.0536,0.00136,2.85E-06,-0.017,-5.53,-5.484604717,-5.1,-5.057079229,0.042865174,5.56E-05,6.14,-0.02663
opp_H_2-6_SH_3-5_NO2_4_FBBr,c1(S)c(N(=O)=O)c(F)c(N(=O)=O)c(S)c1(Br),Br,SH,NO2,F,28.6,2.026005767,1.8944,3.155,-6.473,C1,1.8989,0.0045,3.086,-0.069,-4.355,,2.9488,0.157,-10.971,0.0164,0.0116,-0.00136,-0.0103,0.0519,0.00136,3.56E-06,-0.0164,-5.01,-4.964405616,-4.59,-4.548766915,0.040700266,0.000532818,5.8,-0.02472
opp_H_2-6_SH_4_NH2_3-5_CNBBr,c1(S)c(C#N)c(N)c(C#N)c(S)c1(Br),Br,SH,CN,NH2,15.1,2.039706598,1.8955,3.16,-5.285,C1,1.8981,0.0026,3.14,-0.02,-3.693,,3.0086,0.139,-10.518,0.0146,0.0103,-0.00132,-0.00901,0.0466,0.00132,2.13E-06,-0.0146,-3.48,-3.443749295,-3.1,-3.064787744,0.032448516,0.00276374,4.71,-0.01887
opp_H_2-6_SH_4_NH2_3-5_FBBr,c1(S)c(F)c(N)c(F)c(S)c1(Br),Br,SH,F,NH2,22.1,2.033415199,1.8965,3.154,-5.468,C1,1.8999,0.0034,3.119,-0.035,-3.546,,2.9822,0.15,-10.983,0.0154,0.0109,-0.00134,-0.00955,0.0489,0.00134,2.00E-06,-0.0154,-4.21,-4.172890233,-3.81,-3.774004737,0.034807952,0.001187311,5.19,-0.02134
opp_H_2-6-OHBBr,c1(O)cccc(O)c1(Br),Br,OH,H,H,7.3,2.04563685,1.8872,3.296,-6.854,C1,1.8905,0.0033,3.257,-0.039,-5.319,,3.0469,0.117,-10.08,0.0135,0.00957,-0.00128,-0.00829,0.0434,0.00128,9.23E-07,-0.0135,-2.51,-2.46831276,-2.12,-2.080936341,0.033799544,0.005264114,4.18,-0.01574
