Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
4-BH2BABr,c1cc(B)ccc1(C#C(Br)),Br,H,H,BH2,29.7,1.995856555,1.7979,4.513,-5.535,1.2121,17.102,3.569,C1,1.809,0.0111,4.154,-0.359,-4.398,1.2136,0.0015,16.961,-0.141,4.461,2.9241,0.17,-11.244,0.0168,0.0123,-0.00143,-0.0108,0.0547,0.00143,2.88E-06,-0.0168,-5.36,-5.311311066,-4.91,-4.862514536,0.046917003,0.000568461,6.14,-0.02341
4-CF3BABr,c1cc(C(F)(F)F)ccc1(C#C(Br)),Br,H,H,CF3,31,1.995298008,1.7979,4.514,-4.984,1.2117,17.148,3.006,C1,1.8093,0.0114,4.145,-0.369,-3.672,1.2132,0.0015,17.009,-0.139,3.715,2.9201,0.17,-11.172,0.016931782,0.012349197,-0.00142565,-0.010923547,0.055099389,0.00142565,1.86E-06,-0.016931782,-5.49,-5.442756108,-5.04,-4.990335321,0.049240671,0.000424008,6.23,-0.02387
4-CH3BABr,c1cc(C)ccc1(C#C(Br)),Br,H,H,CH3,25.6,1.999406221,1.8,4.495,-3.261,1.2121,17.115,1.288,C1,1.8107,0.0107,4.163,-0.332,-1.977,1.2133,0.0012,16.997,-0.118,1.909,2.9407,0.167,-11.118,0.0162,0.0119,-0.00142,-0.0104,0.0531,0.00142,1.11E-06,-0.0162,-4.87,-4.828104905,-4.43,-4.387516477,0.041292008,0.001191515,5.81,-0.02173
4-CHOBABr,c1cc(C(=O))ccc1(C#C(Br)),Br,H,H,CHO,31,1.994829256,1.7976,4.51,-5.47,1.212,17.116,3.452,C1,1.809,0.0114,4.146,-0.364,-4.27,1.2134,0.0014,16.974,-0.142,4.304,2.9202,0.17,-11.257,0.016930241,0.012348021,-0.001425942,-0.01092208,0.055095851,0.001425942,2.12E-06,-0.016930241,-5.49,-5.438023431,-5.03,-4.982897945,0.046782716,0.00031934,6.22,-0.02384
4-ClBABr,c1cc(Cl)ccc1(C#C(Br)),Br,H,H,Cl,28.9,1.997215573,1.7988,4.506,-4.058,1.2119,17.136,1.998,C1,1.81,0.0112,4.153,-0.353,-2.741,1.2132,0.0013,17.009,-0.127,2.672,2.9284,0.169,-11.197,0.016650426,0.012148717,-0.001423495,-0.010725223,0.054288848,0.001423495,1.99E-06,-0.016650426,-5.24,-5.193578361,-4.79,-4.743981089,0.045331286,0.000687625,6.06,-0.02299
4-CNBABr,c1cc(C#N)ccc1(C#C(Br)),Br,H,H,CN,32.8,1.994246569,1.7972,4.521,-5.654,1.2119,17.129,3.571,C1,1.8088,0.0116,4.14,-0.381,-4.378,1.2133,0.0014,16.984,-0.145,4.394,2.9139,0.171,-11.304,0.017144797,0.012500718,-0.001426826,-0.011073892,0.055710173,0.001426826,5.10E-07,-0.017144797,-5.68,-5.630933029,-5.22,-5.170232284,0.049541875,0.000225841,6.36,-0.02454
4-COOHBABr,c1cc(C(=O)O)ccc1(C#C(Br)),Br,H,H,COOH,30,1.995766975,1.7979,4.513,-5.214,1.2119,17.124,3.219,C1,1.8092,0.0113,4.15,-0.363,-3.997,1.2134,0.0015,16.985,-0.139,4.034,2.9229,0.17,-11.239,0.016838232,0.012282544,-0.001425352,-0.010857192,0.054831587,0.001425352,1.88E-06,-0.016838232,-5.4,-5.351196197,-4.95,-4.90126642,0.04820026,0.00053332,6.17,-0.02356
4-FBABr,c1cc(F)ccc1(C#C(Br)),Br,H,H,F,28.1,1.99722211,1.7993,4.502,-3.555,1.2119,17.142,1.562,C1,1.8104,0.0111,4.155,-0.347,-2.21,1.2132,0.0013,17.018,-0.124,2.139,2.9323,0.168,-11.055,0.016521134,0.012055983,-0.001422374,-0.010633609,0.053913424,0.001422374,4.53E-07,-0.016521134,-5.13,-5.084917561,-4.69,-4.644119957,0.0450784,0.000801643,5.98,-0.0226
4-NH2BABr,c1cc(N)ccc1(C#C(Br)),Br,H,H,NH2,23.4,2.00120034,1.8009,4.486,-2.013,1.2126,17.059,-0.134,C1,1.8114,0.0105,4.169,-0.317,-0.789,1.2137,0.0011,16.957,-0.102,0.52,2.9492,0.165,-11.148,0.016,0.0117,-0.00142,-0.0102,0.0523,0.00142,7.36E-07,-0.016,-4.62,-4.576577135,-4.19,-4.1450466,0.043382869,0.001570531,5.65,-0.02089
4-NO2BABr,c1cc(N(=O)=O)ccc1(C#C(Br)),Br,H,H,NO2,33.7,1.992570633,1.7967,4.525,-6.159,1.2118,17.134,4.102,C1,1.8085,0.0118,4.137,-0.388,-4.936,1.2133,0.0015,16.982,-0.152,4.983,2.9103,0.172,-11.293,0.01727177,0.012591323,-0.00142742,-0.011163902,0.05607497,0.00142742,2.19E-06,-0.01727177,-5.79,-5.736512758,-5.33,-5.277671543,0.052194358,0.000134099,6.44,-0.02493
4-OHBABr,c1cc(O)ccc1(C#C(Br)),Br,H,H,OH,25.5,1.999364258,1.8003,4.493,-2.711,1.2122,17.103,0.646,C1,1.811,0.0107,4.163,-0.33,-1.412,1.2134,0.0012,16.99,-0.113,1.236,2.9419,0.167,-11.089,0.0162,0.0118,-0.00142,-0.0104,0.053,0.00142,1.33E-06,-0.0162,-4.84,-4.797503777,-4.4,-4.356211948,0.042541379,0.001246673,5.79,-0.02161
4-OOCMeBABr,c1cc(OC(=O)C)ccc1(C#C(Br)),Br,H,H,OOCMe,26.7,1.998353098,1.7994,4.496,-3.599,1.2119,17.135,1.555,C1,1.8103,0.0109,4.155,-0.341,-2.311,1.2132,0.0013,17.013,-0.122,2.223,2.9357,0.166,-11.208,0.016409214,0.011975137,-0.001420804,-0.010554333,0.053583767,0.001420804,9.93E-07,-0.016409214,-5.02,-4.972833696,-4.58,-4.533372216,0.04557476,0.001053024,5.91,-0.02224
4-SHBABr,c1cc(S)ccc1(C#C(Br)),Br,H,H,SH,27.1,1.998041584,1.7995,4.5,-3.406,1.2122,17.106,1.26,C1,1.8104,0.0109,4.159,-0.341,-2.134,1.2134,0.0012,16.987,-0.119,1.971,2.9352,0.168,-11.258,0.0164,0.012,-0.00142,-0.0106,0.0536,0.00142,4.90E-07,-0.0164,-5.03,-4.989298918,-4.59,-4.546225377,0.042802423,0.0009722,5.92,-0.02228
BABr,c1ccccc1(C#C(Br)),Br,H,H,H,26.7,1.997978918,1.7995,4.499,-3.68,1.212,17.132,1.797,C1,1.8104,0.0109,4.16,-0.339,-2.378,1.2133,0.0013,17.008,-0.124,2.391,2.9365,0.168,-11.027,0.016380691,0.011955566,-0.001421234,-0.010534333,0.053507201,0.001421234,1.12E-06,-0.016380691,-4.99,-4.951137555,-4.55,-4.506338328,0.042637388,0.001024284,5.89,-0.02214
