Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-4-6_BH2_3-5_NO2BAAt,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(C#C([At])),At,BH2,NO2,BH2,53.3,2.110613284,2.0967,3.122,-2.139,1.2143,16.849,2.969,C1,2.1369,0.0402,2.544,-0.578,1.273,1.2171,0.0028,16.571,-0.278,3.466,2.8488,0.295,-16.513,0.0243,0.0188,-0.000855,-0.0179,0.0785,0.000855,1.88E-06,-0.0243,-11.8,-11.41787647,-11.21,-10.82573276,0.381048869,0.003218371,16.74,-0.06122
2-4-6_NH2_3-5_CNBAAt,c1(N)c(C#N)c(N)c(C#N)c(N)c1(C#C([At])),At,NH2,CN,NH2,52.8,2.114375501,2.0999,3.127,4.267,1.2181,16.477,-2.83,C1,2.1385,0.0386,2.582,-0.545,7.807,1.2201,0.002,16.301,-0.176,-2.528,2.8612,0.292,-16.511,0.0237,0.0183,-0.000904,-0.0174,0.0768,0.000904,9.78E-07,-0.0237,-11.39,-11.0468872,-10.81,-10.46874352,0.338408343,0.00284814,,-0.05843
2-4-6_NH2_3-5_FBAAt,c1(N)c(F)c(N)c(F)c(N)c1(C#C([At])),At,NH2,F,NH2,47,2.118748722,2.099,3.143,4.597,1.2179,16.491,-2.972,C1,2.1349,0.0359,2.639,-0.504,7.834,1.2198,0.0019,16.331,-0.16,-2.605,2.8804,0.286,-16.173,0.0228,0.0176,-0.000979,-0.0166,0.0742,0.000979,7.79E-07,-0.0228,-10.51,-10.19917834,-9.96,-9.647762882,0.30844853,0.003788589,15.16,-0.05462
2-4-6_NH2_3-5_NO2BAAt,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(C#C([At])),At,NH2,NO2,NH2,55,2.111819088,2.1003,3.121,3.781,1.2184,16.454,-2.496,C1,2.1404,0.0401,2.55,-0.571,7.442,1.2204,0.002,16.276,-0.178,-2.219,2.8507,0.294,-16.603,0.0242,0.0187,-0.000858,-0.0178,0.0782,0.000858,2.02E-06,-0.0242,-11.81,-11.4384525,-11.23,-10.85951714,0.367877444,0.002605419,35.57,-0.05899
2-4-6_OH_3-5_CNBAAt,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C([At])),At,OH,CN,OH,63,2.09877891,2.0998,3.092,0.768,1.2179,16.542,-0.262,C1,2.1454,0.0456,2.435,-0.657,4.691,1.2204,0.0025,16.31,-0.232,0.027,2.8153,0.305,-16.629,0.026,0.0201,-0.000678,-0.0195,0.0832,0.000678,1.06E-06,-0.026,-13.32,-12.85402232,-12.71,-12.24164944,0.466135392,0.002215171,18.7,-0.06932
2-4-6_OH_3-5_FBAAt,c1(O)c(F)c(O)c(F)c(O)c1(C#C([At])),At,OH,F,OH,56.4,2.105450764,2.0995,3.113,2.213,1.2182,16.512,-1.322,C1,2.1411,0.0416,2.518,-0.595,5.85,1.2205,0.0023,16.306,-0.206,-1.055,2.8402,0.297,-16.244,0.0247,0.0191,-0.00081,-0.0183,0.0797,0.00081,5.90E-07,-0.0247,-12.19,-11.79436648,-11.61,-11.21079107,0.396395869,0.002813062,17.25,-0.06332
2-4-6_SH_3-5_CNBAAt,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C([At])),At,SH,CN,SH,61,2.101779426,2.0986,3.106,-0.717,1.2168,16.608,1.376,C1,2.1427,0.0441,2.465,-0.641,3.073,1.2194,0.0026,16.361,-0.247,1.78,2.8228,0.302,-16.967,0.0256,0.0198,-0.000721,-0.0191,0.0822,0.000721,2.62E-06,-0.0256,-13,-12.56111092,-12.39,-11.95042407,0.437367846,0.00220808,,-0.06688
2-4-6_SH_3-5_FBAAt,c1(S)c(F)c(S)c(F)c(S)c1(C#C([At])),At,SH,F,SH,55.4,2.107610547,2.0981,3.122,0.3,1.2167,16.625,0.621,C1,2.1392,0.0411,2.53,-0.592,3.853,1.2192,0.0025,16.396,-0.229,1.025,2.8424,0.296,-16.631,0.0246,0.019,-0.000822,-0.0182,0.0794,0.000822,6.29E-07,-0.0246,-12.09,-11.70178686,-11.49,-11.10506038,0.38212191,0.002817706,17.14,-0.06282
2-4-6-BH2BAAt,c1(B)cc(B)cc(B)c1(C#C([At])),At,BH2,H,BH2,49.2,2.115980758,2.0944,3.144,-3.296,1.2145,16.807,4.619,C1,2.1312,0.0368,2.615,-0.529,-0.517,1.2172,0.0027,16.542,-0.265,5.47,2.8691,0.291,-16.423,0.0234,0.018,-0.000938,-0.0171,0.0757,0.000938,3.31E-06,-0.0234,-11.01,-10.68710149,-10.42,-10.10049249,0.315958563,0.003548943,15.68,-0.05676
2-4-6-ClBAAt,c1(Cl)cc(Cl)cc(Cl)c1(C#C([At])),At,Cl,H,Cl,50,2.111570662,2.0952,3.14,-1.698,1.2132,16.95,2.586,C1,2.1333,0.0381,2.596,-0.544,1.485,1.2157,0.0025,16.705,-0.245,3.073,2.8635,0.293,-16.211,0.023606266,0.01820812,-0.000917941,-0.017290179,0.076505359,0.000917941,2.09E-06,-0.023606266,-11.16,-10.830446,-10.58,-10.24976472,0.326499468,0.003735815,15.94,-0.05775
