Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$
2-4-6_NH2_3-5_CNBCl,c1(N)c(C#N)c(N)c(C#N)c(N)c1(Cl),Cl,NH2,CN,NH2,17.1,1.958485133,1.7487,3.677,-5.316,Cs,1.7472,-0.0015,3.723,0.046,-4.392,,3.1109,0.078,-6.489,0.0104,0.00733,-0.00126,-0.00607,0.0343,0.00126,8.51e-07,-0.0104,-2.12,-2.105133479,-1.84,-1.821738658,0.018674683,-0.000413341,1.77,-0.00705,,,,,,,
2-4-6_NH2_3-5_FBCl,c1(N)c(F)c(N)c(F)c(N)c1(Cl),Cl,NH2,F,NH2,8.7,1.962609627,1.7479,3.679,-5.488,Cs,1.7466,-0.0013,3.713,0.034,-5.125,,3.1269,0.067,-4.988,0.00905,0.0065,-0.00109,-0.00542,0.0304,0.00109,1.52e-06,-0.00905,-1.68,-1.6623063,-1.38,-1.366767519,0.010171929,0.003060552,0.74,-0.00288,,,,,,,
2-4-6_NH2_3-5_NO2BCl,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(Cl),Cl,NH2,NO2,NH2,20.2,1.955247573,1.7523,3.58,-4.942,Cs,1.7514,-0.0009,3.613,0.033,-3.958,,3.0926,0.088,-6.714,0.0108,0.00761,-0.00131,-0.0063,0.0357,0.00131,9.34e-07,-0.0108,-2.5,-2.484224518,-2.19,-2.169626273,0.020463085,-8.94e-05,,-0.00577,,,,,,,
2-4-6_OH_3-5_CNBCl,c1(O)c(C#N)c(O)c(C#N)c(O)c1(Cl),Cl,OH,CN,OH,30.7,1.945396596,1.7448,3.777,-5.542,C1,1.7442,-0.0006,3.79,0.013,-4.222,,3.0246,0.105,-7.097,0.0122,0.00875,-0.00147,-0.00728,0.0409,0.00147,3.56e-06,-0.0122,-3.74,-3.708483003,-3.42,-3.390617683,0.027999474,0.001382843,2.47,-0.01045,,,,,,,
2-4-6_OH_3-5_FBCl,c1(O)c(F)c(O)c(F)c(O)c1(Cl),Cl,OH,F,OH,21.8,1.952274483,1.7474,3.722,-5.14,C1,1.7464,-0.001,3.747,0.025,-4.105,,3.066,0.096,-6.651,0.0113,0.00803,-0.00138,-0.00665,0.0376,0.00138,1.79e-06,-0.0113,-2.83,-2.806638899,-2.54,-2.514238476,0.025652588,0.000108936,2.13,-0.00857,,,,,,,
2-4-6_SH_3-5_CNBCl,c1(S)c(C#N)c(S)c(C#N)c(S)c1(Cl),Cl,SH,CN,SH,26.7,1.947156121,1.7428,3.661,-5.886,C1,1.741,-0.0018,3.704,0.043,-4.909,,3.0365,0.1,-6.825,0.012,0.00855,-0.00144,-0.0071,0.04,0.00144,1.9e-06,-0.012,-3.39,-3.363465729,-3.05,-3.022892405,0.026330299,0.000777296,0.26,-0.00954,,,,,,,
2-4-6_SH_3-5_FBCl,c1(S)c(F)c(S)c(F)c(S)c1(Cl),Cl,SH,F,SH,19.3,1.951759783,1.7423,3.684,-5.715,C1,1.7402,-0.0021,3.724,0.04,-4.937,,3.0656,0.095,-6.485,0.0113,0.00804,-0.00137,-0.00667,0.0376,0.00137,1.24e-06,-0.0113,-2.67,-2.652986923,-2.36,-2.339409845,0.020870966,-0.000280811,2.09,-0.00858,,,,,,,
2-4-6-BH2BCl,c1(B)cc(B)cc(B)c1(Cl),Cl,BH2,H,BH2,7.6,1.961979884,1.744,3.502,-10.675,Cs,1.739,-0.005,3.585,0.083,-10.386,,3.11,0.076,-4.833,0.0104,0.00732,-0.00127,-0.00605,0.0343,0.00127,3.47e-07,-0.0104,-1.55,-1.529100466,-1.23,-1.207792564,0.021999228,0.000208208,1.8,-0.00672,,,,,,,
2-4-6-ClBCl,c1(Cl)cc(Cl)cc(Cl)c1(Cl),Cl,Cl,H,Cl,12.5,1.94148439,1.7249,4.035,-6.554,C1,1.7244,-0.0005,4.026,-0.009,-5.685,NAN,3.0397,0.093,-6.448,0.0117,0.00842,-0.00146,-0.00697,0.0395,0.00146,3.13e-06,-0.0117,-2.17,-2.151092275,-1.86,-1.842896099,0.016534875,0.000569026,2.33,-0.00904,,,,,,,
2-4-6-CN-3-5-CF3BCl,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(Cl),Cl,CN,CF3,CN,29.3,1.920807554,1.7135,4.209,-8.476,C1,1.7135,0.0,4.144,-0.065,-7.21,NAN,2.9188,0.15,-7.072,0.0148,0.0109,-0.00178,-0.00907,0.0505,0.00178,8.44e-07,-0.0148,-4.59,-4.567995315,-4.19,-4.168709858,0.021592602,-0.00030246,3.54,-0.01573,,,,,,,
