Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$
2-6-CF3BACl,c1(C(F)(F)F)cccc(C(F)(F)F)c1(C#C(Cl)),Cl,CF3,H,H,22.6,1.912900903,1.6435,5.563,-8.454,C1,1.6467,0.0032,5.353,-0.21,-8.093,1.2095,2.9689,0.126,-6.344,0.0132,0.00979,-0.00166,-0.00813,0.0458,0.00166,1.93e-06,-0.0132,-3.48,-3.472551981,-3.13,-3.118970579,0.011282621,-0.0002532,2.9,-0.01057,1.2082,17.45,5.641,0.0013,17.323,-0.127,6.594
2-6-CH3BACl,c1(C)cccc(C)c1(C#C(Cl)),Cl,CH3,H,H,18.6,1.919964348,1.6515,5.434,-5.659,C1,1.6546,0.0031,5.253,-0.181,-5.229,1.2123,3.0023,0.111,-6.427,0.0124,0.00913,-0.00156,-0.00757,0.0428,0.00156,2.57e-06,-0.0124,-2.83,-2.818503849,-2.5,-2.492893706,0.007149216,-4.29e-05,2.6,-0.00909,1.2114,17.185,2.313,0.0009,17.097,-0.088,3.057
2-6-CHOBACl,c1(C(=O))cccc(C(=O))c1(C#C(Cl)),Cl,CHO,H,H,27.5,1.912218131,1.6464,5.515,-7.404,C1,1.65,0.0036,5.291,-0.224,-6.887,1.2117,2.9591,0.13,-6.607,0.0135,0.00999,-0.00168,-0.00831,0.0467,0.00168,7.24e-07,-0.0135,-3.85,-3.843499201,-3.51,-3.50082487,0.009583325,-0.000408195,3.04,-0.01129,1.2106,17.231,4.393,0.0011,17.119,-0.112,5.263
2-6-ClBACl,c1(Cl)cccc(Cl)c1(C#C(Cl)),Cl,Cl,H,H,20.8,1.91601,1.6463,5.517,-7.502,C1,1.6495,0.0032,5.319,-0.198,-7.127,1.2101,2.983,0.12,-6.357,0.0129,0.0095,-0.00162,-0.00788,0.0445,0.00162,2.31e-06,-0.0129,-3.19,-3.18,-2.86,-2.851934997,0.008232925,-0.000167922,2.78,-0.00989,1.209,17.388,4.428,0.0011,17.277,-0.111,5.295
2-6-CNBACl,c1(C#N)cccc(C#N)c1(C#C(Cl)),Cl,CN,H,H,24.8,1.91027959,1.6413,5.594,-9.209,C1,1.6446,0.0033,5.367,-0.227,-8.856,1.2107,2.9517,0.133,-6.359,0.0137,0.0101,-0.00171,-0.00843,0.0474,0.00171,5.52e-07,-0.0137,-3.84,-3.829217713,-3.49,-3.479121621,0.011198535,-0.000320155,3.1,-0.0115,1.2093,17.347,6.387,0.0014,17.208,-0.139,7.405
2-6-COOHBACl,c1(C(=O)O)cccc(C(=O)O)c1(C#C(Cl)),Cl,COOH,H,H,22.1,1.91803716,1.6462,5.51,-7.639,C1,1.6492,0.003,5.321,-0.189,-7.323,1.209,2.9923,0.116,-6.336,0.0127,0.00933,-0.00159,-0.00773,0.0437,0.00159,2.07e-06,-0.0127,-3.14,-3.128764626,-2.81,-2.798703386,0.0115901,-0.000293486,2.69,-0.00955,1.2078,17.43,5.022,0.0012,17.315,-0.115,5.922
2-6-FBACl,c1(F)cccc(F)c1(C#C(Cl)),Cl,F,H,H,20.4,1.916523817,1.6471,5.509,-7.071,C1,1.6503,0.0032,5.31,-0.199,-6.671,1.21,2.9845,0.12,-6.261,0.0128,0.00947,-0.00161,-0.00786,0.0443,0.00161,1.19e-06,-0.0128,-3.15,-3.139442955,-2.82,-2.811681295,0.008451298,-0.000132593,2.79,-0.00986,1.2089,17.422,3.7,0.0011,17.315,-0.107,4.546
2-6-NH2BACl,c1(N)cccc(N)c1(C#C(Cl)),Cl,NH2,H,H,19.4,1.919431591,1.6529,5.414,-4.505,C1,1.6561,0.0032,5.228,-0.186,-4.012,1.2143,2.9996,0.112,-6.521,0.0125,0.00918,-0.00157,-0.00761,0.043,0.00157,3.31e-07,-0.0125,-2.89,-2.879496517,-2.58,-2.568610703,0.01153739,-0.000148092,2.66,-0.00928,1.2135,16.938,0.452,0.0008,16.875,-0.063,1.131
2-6-NO2BACl,c1(N(=O)=O)cccc(N(=O)=O)c1(C#C(Cl)),Cl,NO2,H,H,24.3,1.911155726,1.6405,5.606,-9.782,C1,1.6437,0.0032,5.386,-0.22,-9.467,1.2094,2.9573,0.131,-6.335,0.0136,0.01,-0.00169,-0.00833,0.0468,0.00169,1.34e-06,-0.0136,-3.74,-3.719985252,-3.39,-3.37431038,0.016045418,-0.000355798,3.04,-0.01114,1.2079,17.418,7.16,0.0015,17.274,-0.144,8.201
2-6-OHBACl,c1(O)cccc(O)c1(C#C(Cl)),Cl,OH,H,H,26.1,1.913461997,1.6493,5.472,-5.482,C1,1.6529,0.0036,5.253,-0.219,-4.877,1.215,2.9667,0.127,-6.623,0.0133,0.00983,-0.00166,-0.00817,0.046,0.00166,1.56e-06,-0.0133,-3.65,-3.638424077,-3.32,-3.307981938,0.012413393,-0.000395331,3.01,-0.01095,1.214,16.94,1.305,0.001,16.855,-0.085,2.017
2-6-OOCMeBACl,c1(OC(=O)C)cccc(OC(=O)C)c1(C#C(Cl)),Cl,OOCMe,H,H,21.5,1.917219833,1.649,5.475,-6.05,C1,1.6523,0.0033,5.281,-0.194,-5.565,1.2105,2.9888,0.118,-6.611,0.0127,0.0094,-0.0016,-0.0078,0.044,0.0016,2.23e-06,-0.0127,-3.16,-3.139645641,-2.84,-2.816237157,0.024008513,-0.00024567,2.73,-0.00983,1.2094,17.319,2.978,0.0011,17.215,-0.104,3.695
2-6-SHBACl,c1(S)cccc(S)c1(C#C(Cl)),Cl,SH,H,H,24.6,1.914621599,1.6492,5.472,-6.231,C1,1.6527,0.0035,5.26,-0.212,-5.662,1.2134,2.9706,0.125,-6.759,0.0132,0.00976,-0.00165,-0.00811,0.0456,0.00165,1.99e-06,-0.0132,-3.53,-3.522432711,-3.2,-3.190006911,0.010215855,-0.000222766,2.95,-0.01073,1.2124,17.054,2.712,0.001,16.961,-0.093,3.44
3-4-5-BH2BACl,c1c(B)c(B)c(B)cc1(C#C(Cl)),Cl,H,BH2,BH2,21.1,1.91695664,1.6498,5.464,-6.348,C1,1.6531,0.0033,5.271,-0.193,-5.934,1.2111,2.9909,0.117,-6.33,0.0127,0.00935,-0.00159,-0.00775,0.0438,0.00159,6e-07,-0.0127,-3.09,-3.080571269,-2.76,-2.751853421,0.008359054,-0.000212475,2.74,-0.00969,1.2101,17.321,2.806,0.001,17.224,-0.097,3.679
3-4-5-ClBACl,c1c(Cl)c(Cl)c(Cl)cc1(C#C(Cl)),Cl,H,Cl,Cl,24.4,1.91448,1.6478,5.497,-7.384,C1,1.6511,0.0033,5.29,-0.207,-6.985,1.211,2.9761,0.123,-6.321,0.0131,0.00964,-0.00163,-0.008,0.0451,0.00163,1.71e-06,-0.0131,-3.44,-3.43,-3.11,-3.101576375,0.008797683,-0.000374058,2.89,-0.01041,1.2098,17.349,3.987,0.0012,17.239,-0.11,4.953
3-4-5-CNBACl,c1c(C#N)c(C#N)c(C#N)cc1(C#C(Cl)),Cl,H,CN,CN,33.4,1.908050107,1.6434,5.563,-9.735,C1,1.6471,0.0037,5.32,-0.243,-9.383,1.2112,2.9435,0.137,-6.348,0.014,0.0103,-0.00172,-0.00859,0.0482,0.00172,1.32e-06,-0.014,-4.32,-4.313985744,-3.98,-3.969353109,0.010849639,-0.000202748,3.25,-0.01227,1.2098,17.329,6.589,0.0014,17.19,-0.139,7.798
3-4-5-FBACl,c1c(F)c(F)c(F)cc1(C#C(Cl)),Cl,H,F,F,24.1,1.915779673,1.6482,5.492,-6.741,C1,1.6517,0.0035,5.286,-0.206,-6.282,1.2108,2.9788,0.122,-6.352,0.013,0.00958,-0.00163,-0.00796,0.0448,0.00163,1.4e-06,-0.013,-3.38,-3.372665018,-3.06,-3.050835349,0.009531869,-0.000367219,2.86,-0.01027,1.2097,17.359,3.491,0.0011,17.252,-0.107,4.326
3-4-5-NH2BACl,c1c(N)c(N)c(N)cc1(C#C(Cl)),Cl,H,NH2,NH2,15.0,1.922188767,1.6529,5.415,-4.782,C1,1.656,0.0031,5.245,-0.17,-4.429,1.2116,3.0178,0.102,-6.283,0.012,0.00884,-0.00152,-0.00732,0.0414,0.00152,2.65e-06,-0.012,-2.48,-2.468873753,-2.17,-2.161098527,0.008498361,0.000403112,2.49,-0.00845,1.2108,17.24,0.903,0.0008,17.162,-0.078,1.731
3-4-5-OHBACl,c1c(O)c(O)c(O)cc1(C#C(Cl)),Cl,H,OH,OH,19.1,1.919559279,1.6514,5.441,-5.333,C1,1.6546,0.0032,5.258,-0.183,-4.928,1.2113,3.003,0.11,-6.326,0.0124,0.00911,-0.00156,-0.00755,0.0427,0.00156,1.75e-06,-0.0124,-2.83,-2.818636253,-2.52,-2.511032575,0.008943893,2.35e-05,2.62,-0.00912,1.2104,17.279,1.647,0.0009,17.192,-0.087,2.459
3-4-5-SHBACl,c1c(S)c(S)c(S)cc1(C#C(Cl)),Cl,H,SH,SH,22.0,1.916773512,1.6494,5.47,-6.793,C1,1.6527,0.0033,5.275,-0.195,-6.427,1.2111,2.988,0.118,-6.315,0.0128,0.0094,-0.0016,-0.0078,0.044,0.0016,2.48e-06,-0.0128,-3.16,-3.154216411,-2.83,-2.821717816,0.008458828,-0.000176644,2.76,-0.00982,1.2101,17.32,3.258,0.001,17.219,-0.101,4.222
3-5-BH2BACl,c1c(B)cc(B)cc1(C#C(Cl)),Cl,H,BH2,H,21.3,1.917261848,1.6496,5.468,-6.445,C1,1.6529,0.0033,5.274,-0.194,-6.021,1.2111,2.9894,0.117,-6.328,0.0127,0.00938,-0.0016,-0.00778,0.0439,0.0016,3.6e-07,-0.0127,-3.12,-3.114512003,-2.79,-2.781834533,0.008416157,-0.00025069,2.75,-0.00975,1.2101,17.33,3.097,0.001,17.229,-0.101,3.941
3-5-CF3BACl,c1c(C(F)(F)F)cc(C(F)(F)F)cc1(C#C(Cl)),Cl,H,CF3,H,25.9,1.913440778,1.6469,5.511,-7.524,C1,1.6504,0.0035,5.297,-0.214,-7.084,1.2108,2.9698,0.126,-6.354,0.0132,0.00977,-0.00165,-0.00812,0.0457,0.00165,6.68e-07,-0.0132,-3.6,-3.590442191,-3.26,-3.250202569,0.01022213,-0.000424698,2.95,-0.01075,1.2097,17.362,4.393,0.0011,17.246,-0.116,5.301
3-5-CH3BACl,c1c(C)cc(C)cc1(C#C(Cl)),Cl,H,CH3,H,17.5,1.920378677,1.6514,5.439,-5.779,C1,1.6545,0.0031,5.259,-0.18,-5.385,1.2113,3.0056,0.109,-6.282,0.0123,0.00906,-0.00156,-0.00751,0.0425,0.00156,8.54e-07,-0.0123,-2.74,-2.728273003,-2.42,-2.412928407,0.006957825,0.000113767,2.59,-0.00897,1.2103,17.298,2.441,0.001,17.206,-0.092,3.24
3-5-CHOBACl,c1c(C(=O))cc(C(=O))cc1(C#C(Cl)),Cl,H,CHO,H,23.2,1.915045839,1.6476,5.499,-7.339,C1,1.651,0.0034,5.293,-0.206,-6.925,1.2108,2.9766,0.123,-6.322,0.013,0.00963,-0.00163,-0.00799,0.045,0.00163,1.27e-06,-0.013,-3.4,-3.386042894,-3.06,-3.050405945,0.009930338,-0.000336282,2.88,-0.01036,1.2097,17.363,4.21,0.0011,17.251,-0.112,5.115
3-5-ClBACl,c1c(Cl)cc(Cl)cc1(C#C(Cl)),Cl,H,Cl,H,23.5,1.915372,1.6481,5.492,-7.178,C1,1.6514,0.0033,5.288,-0.204,-11.617,1.211,2.9794,0.122,-6.315,0.013,0.00957,-0.00163,-0.00795,0.0448,0.00163,3.81e-06,-0.013,-3.35,-3.34,-3.02,-3.011531069,0.008810233,-0.000341302,2.85,-0.01023,1.2098,17.351,3.977,0.0012,17.241,-0.11,4.883
3-5-CNBACl,c1c(C#N)cc(C#N)cc1(C#C(Cl)),Cl,H,CN,H,28.9,1.911258206,1.6457,5.529,-8.136,C1,1.6493,0.0036,5.303,-0.226,-7.69,1.2108,2.9597,0.13,-6.378,0.0135,0.00997,-0.00168,-0.00829,0.0466,0.00168,1.9e-06,-0.0135,-3.88,-3.86951951,-3.54,-3.530801966,0.009600268,-0.000402234,3.06,-0.01132,1.2096,17.365,4.98,0.0012,17.242,-0.123,5.949
3-5-COOHBACl,c1c(C(=O)O)cc(C(=O)O)cc1(C#C(Cl)),Cl,H,COOH,H,21.8,1.915854321,1.6482,5.49,-7.097,C1,1.6515,0.0033,5.289,-0.201,-6.686,1.2107,2.9815,0.121,-6.326,0.0129,0.00953,-0.00162,-0.00791,0.0446,0.00162,2.06e-06,-0.0129,-3.27,-3.257347598,-2.94,-2.930387935,0.009870724,-0.000258659,2.83,-0.01011,1.2096,17.364,3.875,0.0011,17.255,-0.109,4.765
3-5-FBACl,c1c(F)cc(F)cc1(C#C(Cl)),Cl,H,F,H,23.0,1.916154399,1.6484,5.489,-6.887,C1,1.6518,0.0034,5.286,-0.203,-6.456,1.2109,2.9818,0.121,-6.312,0.0129,0.00952,-0.00162,-0.0079,0.0446,0.00162,7.9e-07,-0.0129,-3.29,-3.28488648,-2.97,-2.961338298,0.009002251,-0.000340549,2.82,-0.0101,1.2098,17.355,3.774,0.0011,17.246,-0.109,4.62
3-5-NH2BACl,c1c(N)cc(N)cc1(C#C(Cl)),Cl,H,NH2,H,16.4,1.92077237,1.6518,5.433,-5.705,C1,1.6549,0.0031,5.256,-0.177,-5.328,1.2111,3.0101,0.106,-6.271,0.0122,0.00898,-0.00154,-0.00744,0.0421,0.00154,6.84e-07,-0.0122,-2.64,-2.626796559,-2.33,-2.320666675,0.009097005,0.00023632,2.55,-0.00877,1.2102,17.314,2.406,0.0009,17.222,-0.092,3.202
3-5-NO2BACl,c1c(N(=O)=O)cc(N(=O)=O)cc1(C#C(Cl)),Cl,H,NO2,H,29.3,1.91092993,1.6451,5.525,-8.29,C1,1.6488,0.0037,5.31,-0.215,-7.838,1.2107,2.9565,0.131,-6.397,0.0136,0.01,-0.00169,-0.00835,0.0469,0.00169,3.31e-06,-0.0136,-3.95,-3.942600522,-3.61,-3.604710158,0.005697786,-0.000407944,3.1,-0.01149,1.2095,17.373,5.194,0.0012,17.249,-0.124,6.168
3-5-OHBACl,c1c(O)cc(O)cc1(C#C(Cl)),Cl,H,OH,H,20.4,1.918111149,1.6504,5.456,-6.088,C1,1.6536,0.0032,5.267,-0.189,-5.672,1.2111,2.9962,0.114,-6.309,0.0126,0.00924,-0.00158,-0.00766,0.0433,0.00158,2.47e-06,-0.0126,-2.98,-2.970227488,-2.66,-2.651394648,0.008765053,-0.000159701,2.68,-0.00942,1.2101,17.324,2.831,0.001,17.226,-0.098,3.636
3-5-OOCMeBACl,c1c(OC(=O)C)cc(OC(=O)C)cc1(C#C(Cl)),Cl,H,OOCMe,H,18.5,1.91782231,1.6495,5.469,-6.582,C1,1.6527,0.0032,5.279,-0.19,-6.205,1.2107,2.9942,0.115,-6.312,0.0126,0.00928,-0.00159,-0.0077,0.0435,0.00159,2.54e-06,-0.0126,-2.95,-2.93414883,-2.62,-2.605884739,0.014043663,7.16e-05,2.7,-0.00947,1.2097,17.359,3.32,0.001,17.255,-0.104,4.188
3-5-SHBACl,c1c(S)cc(S)cc1(C#C(Cl)),Cl,H,SH,H,21.5,1.917476715,1.6496,5.468,-6.649,C1,1.6528,0.0032,5.275,-0.193,-6.248,1.2111,2.9897,0.117,-6.317,0.0127,0.00937,-0.0016,-0.00777,0.0439,0.0016,2.13e-07,-0.0127,-3.12,-3.114112279,-2.79,-2.782262871,0.007975646,-0.000238516,2.75,-0.00972,1.21,17.329,3.346,0.0011,17.227,-0.102,4.224
4-BH2BACl,c1cc(B)ccc1(C#C(Cl)),Cl,H,H,BH2,21.6,1.917165864,1.6489,5.475,-7.523,C1,1.652,0.0031,5.281,-0.194,-7.258,1.2116,2.9875,0.118,-6.168,0.0128,0.00941,-0.0016,-0.00781,0.0441,0.0016,3.01e-06,-0.0128,-3.15,-3.145147644,-2.83,-2.821663411,0.00859186,-0.000255271,2.76,-0.0098,1.2105,17.279,4.355,0.0011,17.168,-0.111,5.405
4-CF3BACl,c1cc(C(F)(F)F)ccc1(C#C(Cl)),Cl,H,H,CF3,23.1,1.916110729,1.6487,5.481,-6.967,C1,1.652,0.0033,5.281,-0.2,-6.566,1.2112,2.9836,0.12,-6.289,0.0129,0.00949,-0.00161,-0.00788,0.0444,0.00161,2.46e-06,-0.0129,-3.26,-3.255916876,-2.94,-2.931209219,0.009123988,-0.000333208,2.81,-0.01003,1.2101,17.325,3.785,0.0011,17.217,-0.108,4.679
4-CH3BACl,c1cc(C)ccc1(C#C(Cl)),Cl,H,H,CH3,17.5,1.920588911,1.6513,5.44,-5.68,C1,1.6545,0.0032,5.259,-0.181,-5.284,1.2114,3.0049,0.109,-6.276,0.0123,0.00908,-0.00156,-0.00752,0.0425,0.00156,1.05e-06,-0.0123,-2.75,-2.738181378,-2.44,-2.433025044,0.006896329,7.86e-05,2.6,-0.00899,1.2104,17.291,2.197,0.001,17.199,-0.092,3.004
4-CHOBACl,c1cc(C(=O))ccc1(C#C(Cl)),Cl,H,H,CHO,22.9,1.916258886,1.6485,5.487,-7.448,C1,1.6518,0.0033,5.282,-0.205,-7.139,1.2115,2.9835,0.12,-6.214,0.0129,0.00949,-0.00161,-0.00788,0.0444,0.00161,3.69e-06,-0.0129,-3.26,-3.247889147,-2.94,-2.929491726,0.010931843,-0.000423569,2.81,-0.01001,1.2104,17.297,4.234,0.0011,17.184,-0.113,5.252
4-ClBACl,c1cc(Cl)ccc1(C#C(Cl)),Cl,H,H,Cl,20.9,1.917681381,1.6499,5.464,-6.312,C2v,1.6531,0.0032,5.272,-0.192,-5.904,1.2113,2.9922,0.116,-6.298,0.0127,0.00932,-0.00159,-0.00773,0.0436,0.00159,2.98e-06,-0.0127,-3.05,-3.046014948,-2.74,-3.042497559,0.007712092,-0.000209651,2.72,-0.0096,1.2102,17.312,2.858,0.0011,17.214,-0.098,3.721
4-CNBACl,c1cc(C#N)ccc1(C#C(Cl)),Cl,H,H,CN,24.8,1.914762584,1.6479,5.493,-7.583,C1,1.6512,0.0033,5.287,-0.206,-7.227,1.2114,2.9775,0.123,-6.256,0.013,0.00961,-0.00163,-0.00798,0.045,0.00163,7.78e-07,-0.013,-3.42,-3.413956399,-3.1,-3.092155567,0.008232297,-0.000387864,2.87,-0.01034,1.2102,17.307,4.337,0.0012,17.194,-0.113,5.337
4-COOHBACl,c1cc(C(=O)O)ccc1(C#C(Cl)),Cl,H,H,COOH,22.0,1.916600213,1.6489,5.477,-7.242,C1,1.6521,0.0032,5.28,-0.197,-6.916,1.2114,2.9863,0.119,-6.226,0.0128,0.00944,-0.00161,-0.00783,0.0442,0.00161,1.79e-06,-0.0128,-3.19,-3.178398745,-2.87,-2.861168808,0.009143441,-0.000312249,2.78,-0.00988,1.2103,17.301,4.014,0.0011,17.192,-0.109,5.0
4-FBACl,c1cc(F)ccc1(C#C(Cl)),Cl,H,H,F,20.0,1.918858916,1.6505,5.456,-5.8,C1,1.6538,0.0033,5.266,-0.19,-5.357,1.2112,2.9963,0.114,-6.326,0.0126,0.00924,-0.00158,-0.00766,0.0433,0.00158,2.37e-06,-0.0126,-2.96,-2.954394796,-2.65,-2.642105052,0.00806036,-0.000165412,2.69,-0.00941,1.2102,17.318,2.416,0.001,17.222,-0.096,3.187
4-NH2BACl,c1cc(N)ccc1(C#C(Cl)),Cl,H,H,NH2,15.4,1.922175485,1.6526,5.421,-4.783,C1,1.6557,0.0031,5.248,-0.173,-4.422,1.2118,3.0145,0.104,-6.279,0.0121,0.0089,-0.00153,-0.00737,0.0417,0.00153,3.2e-06,-0.0121,-2.53,-2.524722099,-2.23,-2.220039918,0.009599013,0.000361069,2.52,-0.00858,1.2109,17.236,0.882,0.0009,17.158,-0.078,1.709
4-NO2BACl,c1cc(N(=O)=O)ccc1(C#C(Cl)),Cl,H,H,NO2,25.6,1.914622963,1.6474,5.501,-7.942,C1,1.6508,0.0034,5.292,-0.209,-7.623,1.2114,2.974,0.124,-6.239,0.0131,0.00968,-0.00164,-0.00804,0.0453,0.00164,1.59e-06,-0.0131,-3.51,-3.501748115,-3.18,-3.170885613,0.009537517,-0.00042313,2.9,-0.01052,1.2102,17.312,4.823,0.0012,17.194,-0.118,5.87
4-OHBACl,c1cc(O)ccc1(C#C(Cl)),Cl,H,H,OH,17.4,1.920550287,1.6517,5.434,-5.227,C1,1.6549,0.0032,5.256,-0.178,-4.813,1.2115,3.0065,0.108,-6.305,0.0123,0.00905,-0.00155,-0.00749,0.0424,0.00155,2.1e-06,-0.0123,-2.72,-2.708745535,-2.41,-2.399363024,0.010454936,0.000182041,2.59,-0.00894,1.2106,17.279,1.583,0.0009,17.192,-0.087,2.359
4-OOCMeBACl,c1cc(OC(=O)C)ccc1(C#C(Cl)),Cl,H,H,OOCMe,18.7,1.918988663,1.6507,5.454,-5.986,C1,1.6538,0.0031,5.264,-0.19,-5.597,1.2113,2.9993,0.112,-6.297,0.0125,0.00918,-0.00157,-0.00761,0.043,0.00157,1.4e-06,-0.0125,-2.87,-2.85918278,-2.55,-2.541523037,0.008588723,-0.000111759,2.65,-0.00926,1.2103,17.31,2.457,0.001,17.217,-0.093,3.311
4-SHBACl,c1cc(S)ccc1(C#C(Cl)),Cl,H,H,SH,19.1,1.918913357,1.6507,5.45,-5.904,C1,1.6539,0.0032,5.264,-0.186,-5.529,1.2115,2.9992,0.112,-6.279,0.0125,0.00919,-0.00157,-0.00761,0.043,0.00157,2.13e-06,-0.0125,-2.88,-2.873995769,-2.57,-2.562880466,0.007128508,-8.97e-06,2.66,-0.00926,1.2105,17.282,2.195,0.001,17.191,-0.091,3.086
BACl,c1ccccc1(C#C(Cl)),Cl,H,H,H,18.6,1.919482042,1.6508,5.45,-5.905,C1,1.654,0.0032,5.265,-0.185,-5.492,1.2113,3.0006,0.111,-6.281,0.012444959,0.009159623,-0.001569063,-0.00759056,0.042914742,0.001569063,2.98e-06,-0.012444959,-2.85,-2.842194843,-2.54,-2.532841811,0.007172434,-1.42e-05,2.64,-0.0092,1.2103,17.307,2.645,0.001,17.211,-0.096,3.428
opp_H_2-4-6_OH_3-5_CNBACl,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C(Cl)),Cl,OH,CN,OH,22.6,1.915548229,1.647,5.508,-7.168,C1,1.6503,0.0033,5.307,-0.201,-6.771,1.2099,2.9821,0.121,-6.339,0.0129,0.00952,-0.00162,-0.0079,0.0446,0.00162,8.4e-07,-0.0129,-3.26,-3.252233395,-2.94,-2.930578886,0.009638546,-0.000217432,2.81,-0.01004,1.2088,17.409,3.461,0.0011,17.305,-0.104,4.359
opp_H_2-4-6_OH_3-5_FBACl,c1(O)c(F)c(O)c(F)c(O)c1(C#C(Cl)),Cl,OH,F,OH,17.2,1.919527137,1.649,5.476,-6.234,C1,1.6521,0.0031,5.293,-0.183,-5.88,1.2102,3.0018,0.111,-6.253,0.0124,0.00914,-0.00157,-0.00757,0.0428,0.00157,3.54e-06,-0.0124,-2.76,-2.751643967,-2.45,-2.440594135,0.009136538,0.000269327,2.61,-0.00904,1.2092,17.369,2.534,0.001,17.276,-0.093,3.367
opp_H_2-4-6_SH_3-5_CNBACl,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C(Cl)),Cl,SH,CN,SH,27.4,1.911657769,1.6442,5.546,-8.391,C1,1.6476,0.0034,5.324,-0.222,-7.972,1.2119,2.9585,0.13,-6.598,0.0135,0.01,-0.00168,-0.00832,0.0467,0.00168,3e-06,-0.0135,-3.82,-3.809850887,-3.47,-3.46146995,0.008891809,-0.000361759,,-0.01046,1.2107,17.24,4.686,0.0012,17.127,-0.113,5.687
opp_H_2-4-6_SH_3-5_FBACl,c1(S)c(F)c(S)c(F)c(S)c1(C#C(Cl)),Cl,SH,F,SH,22.4,1.914779661,1.646,5.519,-7.56,C1,1.6492,0.0032,5.315,-0.204,-7.187,1.2119,2.9748,0.124,-6.466,0.0131,0.00967,-0.00164,-0.00803,0.0452,0.00164,7.57e-07,-0.0131,-3.36,-3.35360128,-3.02,-3.012356746,0.007868969,-0.000225715,2.86,-0.0103,1.2108,17.238,3.853,0.0011,17.134,-0.104,4.806
opp_H_2-4-6-OHBACl,c1(O)cc(O)cc(O)c1(C#C(Cl)),Cl,OH,H,OH,13.2,1.922436329,1.6512,5.436,-5.339,C1,1.6542,0.003,5.273,-0.163,-4.998,1.2104,3.0207,0.101,-6.229,0.012,0.00878,-0.00152,-0.00727,0.0412,0.00152,2.15e-06,-0.012,-2.36,-2.34759562,-2.06,-2.050155443,0.009073787,0.00077077,2.45,-0.00823,1.2095,17.335,1.561,0.0009,17.254,-0.081,2.332
opp_H_2-4-6-SHBACl,c1(S)cc(S)cc(S)c1(C#C(Cl)),Cl,SH,H,SH,19.6,1.917032638,1.6474,5.497,-6.941,C1,1.6504,0.003,5.304,-0.193,-6.571,1.212,2.9856,0.119,-6.461,0.0128,0.00945,-0.00161,-0.00784,0.0442,0.00161,1.92e-06,-0.0128,-3.09,-3.07818736,-2.75,-2.742898663,0.007203809,-0.000102472,2.75,-0.00974,1.211,17.207,3.163,0.001,17.112,-0.095,4.063
opp_H_2-6_3-5_4-OHBACl,c1(O)c(O)c(O)c(O)c(O)c1(C#C(Cl)),Cl,OH,OH,OH,13.6,1.922040349,1.6505,5.451,-5.696,C1,1.6535,0.003,5.28,-0.171,-5.367,1.2103,3.016,0.103,-6.226,0.0121,0.00887,-0.00153,-0.00734,0.0416,0.00153,2.37e-06,-0.0121,-2.43,-2.425113123,-2.13,-2.120634295,0.00858433,0.000781375,2.48,-0.00841,1.2094,17.352,1.945,0.0009,17.267,-0.085,2.749
opp_H_2-6_3-5_4-SHBACl,c1(S)c(S)c(S)c(S)c(S)c1(C#C(Cl)),Cl,SH,SH,SH,20.2,1.916498643,1.6467,5.507,-7.466,C1,1.6497,0.003,5.312,-0.195,-7.11,1.2118,2.9829,0.12,-6.524,0.0129,0.0095,-0.00162,-0.00789,0.0445,0.00162,4.55e-06,-0.0129,-3.15,-3.144897895,-2.81,-2.802978985,0.007046932,-2.59e-05,,-0.00882,1.2107,17.229,3.758,0.0011,17.13,-0.099,4.705
opp_H_2-6_3-5-OHBACl,c1(O)c(O)cc(O)c(O)c1(C#C(Cl)),Cl,OH,OH,H,13.8,1.921157265,1.6495,5.465,-6.462,C1,1.6525,0.003,5.291,-0.174,-6.163,1.2101,3.0115,0.105,-6.174,0.0122,0.00895,-0.00154,-0.00741,0.042,0.00154,2.96e-06,-0.0122,-2.51,-2.49688766,-2.2,-2.191173263,0.008157623,0.000669113,2.52,-0.00857,1.2091,17.385,3.058,0.001,17.289,-0.096,3.902
